Country,Budget_Level,Climate,Development_Level,Technology,Water,Energy,Population_Size,Religion,Economy,Infrastructure,Government,Geography,Urbanization,Natural_Resources,Income_Level,Digitalization,Healthcare,Agriculture,Education,Political_Stability,Disaster_Risk,Carbon_Emissions
Afghanistan,Low,Continental,Least Developed,Low,Scarce,Hydro,Medium,Islam,Agriculture,Very Low,Islamic Emirate,Mountain,Low,Minerals,Low,Very Low,Very Low,High,Very Low,Very Low,Very High,Very Low
Albania,Medium,Mediterranean,Developing,Medium,Adequate,Hydro,Low,Islam/Christianity,Services,Medium,Republic,Mountain,Medium,Chromium,Upper-Middle,Medium,Medium,Medium,High,Medium,Medium,Low
Algeria,Medium,Desert,Developing,Medium,Scarce,Gas/Solar,High,Islam,Diversified,Medium,Republic,Desert,High,Gas/Oil,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Medium,High
Andorra,High,Mountain,Developed,High,Adequate,Hydro,Very Low,Christianity,Tourism,High,Parliamentary Co-Principality,Mountain,High,None,High,High,High,Low,High,Very High,Low,Low
Angola,Low,Tropical,Developing,Low,Moderate,Oil,Medium,Christianity,Oil,Low,Republic,Coast/Savanna,Medium,Oil,Lower-Middle,Low,Low,Medium,Low,Low,Medium,Medium
Antigua and Barbuda,High,Tropical,Developing,Medium,Limited,Solar,Very Low,Christianity,Tourism,Medium,Constitutional Monarchy,Island,High,None,High,Medium,Medium,Low,High,High,Hurricanes,Low
Argentina,Medium,Temperate,Developing,Medium,Adequate,Gas,Medium,Christianity,Agriculture,Medium,Federal Republic,Plains,High,Lithium,Upper-Middle,Medium,Medium,Very High,High,Medium,Medium,Medium
Armenia,Medium,Continental,Developing,Medium,Moderate,Nuclear,Low,Christianity,Services,Medium,Republic,Mountain,Medium,Copper,Upper-Middle,Medium,Medium,Medium,High,Medium,Earthquake,Medium
Australia,High,Dry,Developed,High,Moderate,Solar,Low,Christianity,Mining,Very High,Constitutional Monarchy,Island,High,Iron Ore,High,High,Very High,Medium,Very High,Very High,Wildfires,High
Austria,High,Temperate,Developed,High,Adequate,Hydro,Low,Christianity,Industrial,Very High,Federal Republic,Mountain,High,Iron,High,High,Very High,Medium,Very High,Very High,Avalanche,Low
Azerbaijan,Medium,Continental,Developing,Medium,Moderate,Oil/Gas,Medium,Islam,Oil,Medium,Republic,Caucasus,High,Oil/Gas,Upper-Middle,Medium,Medium,Medium,High,Medium,Earthquake,High
Bahamas,High,Tropical,Developing,Medium,Limited,Solar,Very Low,Christianity,Tourism,High,Constitutional Monarchy,Island,High,None,High,Medium,High,Low,High,High,Hurricanes,Low
Bahrain,High,Desert,Developed,High,Scarce,Oil/Solar,Low,Islam,Finance/Oil,High,Constitutional Monarchy,Island,Very High,Oil,High,High,High,Low,High,High,Heat Waves,High
Bangladesh,Low,Tropical,Developing,Low,Moderate,Gas,Super High,Islam,Textiles,Low,Republic,Delta,High,Gas,Lower-Middle,Low,Low,Very High,Medium,Medium,Flood Risk,Low
Barbados,High,Tropical,Developing,High,Limited,Solar,Very Low,Christianity,Tourism,High,Parliamentary Republic,Island,High,None,High,High,High,Low,High,Very High,Hurricanes,Low
Belarus,Medium,Continental,Developing,Medium,Adequate,Nuclear,Medium,Christianity,Industrial,Medium,Republic,Plains,High,Potash,Upper-Middle,Medium,Medium,Medium,High,Medium,Low,Medium
Belgium,High,Temperate,Developed,Very High,Adequate,Nuclear,Medium,Christianity,Services,Very High,Federal Monarchy,Plains,Very High,None,High,Very High,Very High,Low,Very High,Very High,Flood Risk,Medium
Belize,Medium,Tropical,Developing,Low,Adequate,Hydro,Very Low,Christianity,Agriculture/Tourism,Low,Parliamentary Democracy,Coast,Medium,Forests,Lower-Middle,Low,Medium,High,Medium,Medium,Hurricanes,Low
Benin,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity/Islam,Agriculture,Low,Republic,Coast/Savanna,Medium,Cotton,Low,Low,Low,Very High,Low,Medium,Flood Risk,Low
Bhutan,Medium,Mountain,Developing,Medium,Adequate,Hydro,Very Low,Buddhism,Hydropower,Medium,Constitutional Monarchy,Mountain,Low,Hydropower,Lower-Middle,Medium,Medium,Medium,High,Very High,Landslides,Very Low
Bolivia,Low,Mountain,Developing,Low,Moderate,Gas,Medium,Christianity,Mining/Agriculture,Low,Republic,Andes,Medium,Lithium,Lower-Middle,Low,Low,High,Medium,Low,Landslides,Low
Bosnia and Herzegovina,Medium,Continental,Developing,Medium,Adequate,Hydro,Low,Islam/Christianity,Services,Medium,Federal Republic,Mountain,Medium,Coal,Upper-Middle,Medium,Medium,Medium,High,Medium,Flood Risk,Medium
Botswana,Medium,Dry,Developing,Medium,Scarce,Solar,Low,Christianity,Mining,Medium,Republic,Plateau,Medium,Diamonds,Upper-Middle,Medium,Medium,Medium,High,High,Drought,Low
Brazil,Medium,Tropical,Developing,Medium,Adequate,Hydro,Very High,Christianity,Diversified,Medium,Federal Republic,Forest,High,Forests,Upper-Middle,Medium,Medium,High,Medium,Medium,Wildfires,High
Brunei,High,Tropical,Developed,High,Adequate,Oil/Gas,Very Low,Islam,Oil,High,Monarchy,Coast,High,Oil/Gas,High,High,High,Low,High,Very High,Flood Risk,High
Bulgaria,Medium,Temperate,Developing,Medium,Adequate,Nuclear,Medium,Christianity,Industrial,Medium,Republic,Mountain/Plains,High,Copper,Upper-Middle,Medium,High,Medium,High,Medium,Earthquake,Medium
Burkina Faso,Low,Tropical,Least Developed,Low,Scarce,Solar,Medium,Islam/Christianity,Agriculture,Very Low,Republic,Sahel,Low,Gold,Low,Very Low,Very Low,Very High,Low,Very Low,Drought,Very Low
Burundi,Low,Tropical,Least Developed,Very Low,Moderate,Hydro,Medium,Christianity,Agriculture,Very Low,Republic,Hills,Low,None,Low,Very Low,Very Low,Very High,Low,Low,Landslides,Very Low
Cabo Verde,Medium,Dry,Developing,Medium,Scarce,Wind/Solar,Very Low,Christianity,Tourism,Medium,Republic,Island,High,None,Lower-Middle,Medium,Medium,Low,High,High,Drought,Low
Cambodia,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Buddhism,Agriculture,Low,Constitutional Monarchy,Plains,Medium,Forests,Lower-Middle,Low,Low,Very High,Medium,Medium,Flood Risk,Low
