Country_EN,Country_AR,Problem_EN,Problem_AR,Solution_EN,Solution_AR,Success_Rate,Implementation_Years,Sector_EN,Sector_AR
Singapore,سنغافورة,Water Scarcity,ندرة المياه,Desalination and Water Recycling,تحلية المياه وإعادة تدويرها,98,15,Water,المياه
Netherlands,هولندا,Flood Risk,خطر الفيضانات,Delta Works Flood Protection,مشروع دلتا للحماية من الفيضانات,99,20,Infrastructure,البنية التحتية
Japan,اليابان,Earthquake,الزلازل,Earthquake Resistant Buildings,المباني المقاومة للزلازل,98,25,Construction,البناء
South Korea,كوريا الجنوبية,Air Pollution,تلوث الهواء,Smart Air Monitoring System,نظام ذكي لمراقبة جودة الهواء,93,6,Environment,البيئة
Germany,ألمانيا,Renewable Energy,الطاقة المتجددة,Energiewende Program,برنامج التحول الطاقوي,96,18,Energy,الطاقة
Sweden,السويد,Waste Management,إدارة النفايات,Advanced Recycling System,نظام متقدم لإعادة التدوير,97,12,Environment,البيئة
Denmark,الدنمارك,Wind Energy,طاقة الرياح,Offshore Wind Farms,مزارع الرياح البحرية,97,15,Energy,الطاقة
Australia,أستراليا,Wildfires,حرائق الغابات,Early Fire Detection System,نظام الكشف المبكر عن الحرائق,94,8,Environment,البيئة
India,الهند,Food Security,الأمن الغذائي,Smart Agriculture,الزراعة الذكية,92,7,Agriculture,الزراعة
Norway,النرويج,Renewable Energy,الطاقة المتجددة,Hydropower Development,تطوير الطاقة الكهرومائية,98,20,Energy,الطاقة
Finland,فنلندا,Education,التعليم,Digital Education System,نظام التعليم الرقمي,97,10,Education,التعليم
Canada,كندا,Wildfires,حرائق الغابات,Satellite Fire Monitoring,مراقبة الحرائق بالأقمار الصناعية,95,8,Environment,البيئة
Switzerland,سويسرا,Healthcare,الرعاية الصحية,Universal Healthcare System,نظام الرعاية الصحية الشامل,98,18,Health,الصحة
France,فرنسا,Waste Management,إدارة النفايات,Circular Economy Strategy,استراتيجية الاقتصاد الدائري,94,12,Environment,البيئة
United Kingdom,المملكة المتحدة,Flood Risk,خطر الفيضانات,Flood Barrier System,حواجز الحماية من الفيضانات,96,14,Infrastructure,البنية التحتية
United States,الولايات المتحدة,Cybersecurity,الأمن السيبراني,National Cyber Defense,الدفاع السيبراني الوطني,95,7,Technology,التكنولوجيا
China,الصين,Air Pollution,تلوث الهواء,Industrial Emission Control,التحكم في الانبعاثات الصناعية,91,10,Environment,البيئة
Brazil,البرازيل,Deforestation,إزالة الغابات,Forest Protection Program,برنامج حماية الغابات,89,12,Environment,البيئة
Morocco,المغرب,Renewable Energy,الطاقة المتجددة,Solar Power Plants,محطات الطاقة الشمسية,94,9,Energy,الطاقة
Egypt,مصر,Water Scarcity,ندرة المياه,Wastewater Reuse,إعادة استخدام مياه الصرف,89,8,Water,المياه
United Arab Emirates,الإمارات العربية المتحدة,Water Scarcity,ندرة المياه,Large Scale Desalination,التحلية واسعة النطاق,97,12,Water,المياه
Saudi Arabia,المملكة العربية السعودية,Water Scarcity,ندرة المياه,Strategic Desalination Network,شبكة التحلية الاستراتيجية,96,12,Water,المياه
Qatar,قطر,Water Scarcity,ندرة المياه,Smart Water Management,الإدارة الذكية للمياه,94,8,Water,المياه
Spain,إسبانيا,Drought,الجفاف,Integrated Water Management,الإدارة المتكاملة للمياه,93,11,Water,المياه
Portugal,البرتغال,Wildfires,حرائق الغابات,Forest Surveillance Network,شبكة مراقبة الغابات,91,7,Environment,البيئة
