Category,Budget_Level,Climate,Development_Level,Technology,Water,Energy,Population_Size,Religion,Economy,Infrastructure,Government,Geography,Urbanization,Natural_Resources,Income_Level,Digitalization,Healthcare,Agriculture,Education,Political_Stability,Disaster_Risk,Carbon_Emissions

Fire,2,20,5,8,15,4,1,0,5,10,5,5,2,15,2,3,2,15,2,5,20,10

Water,2,18,5,6,20,3,2,0,5,15,4,15,2,8,3,3,2,10,2,4,20,5

Energy,10,2,10,15,4,25,2,0,10,20,8,2,3,2,8,10,2,2,2,5,2,5

Climate,2,20,5,8,18,8,2,0,6,10,4,6,2,10,4,4,4,8,4,4,15,10

Pollution,2,15,5,10,12,10,2,0,5,8,4,4,2,8,4,6,8,5,2,4,12,20

Health,5,2,8,8,2,2,5,0,6,8,5,2,3,2,4,6,25,2,10,5,8,2

Agriculture,2,10,5,5,20,5,2,0,8,8,4,10,2,15,3,2,2,25,2,4,15,6

Economy,15,4,15,10,2,8,5,0,25,10,8,2,5,2,15,10,5,2,5,8,2,4

Security,5,2,8,8,2,2,5,0,8,10,20,2,5,2,5,5,5,2,5,20,10,2

Infrastructure,5,5,8,12,5,8,4,0,8,25,8,4,15,4,8,8,5,4,5,5,8,5
